Net,li1,met1,met2,met3,met4,met5,
adc_busy,100.00%,100.00%,99.95%,100.00%,100.00%,NA,
adc_chan[0],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_chan[1],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_chan[2],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net9168,87.50%,78.75%,94.82%,0.00%,NA,NA,
adc_chan[4],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net9169,100.00%,96.03%,64.25%,NA,NA,NA,
adc_data[0],100.00%,100.00%,99.91%,100.00%,100.00%,NA,
adc_data[10],100.00%,100.00%,99.93%,100.00%,100.00%,NA,
adc_data[11],100.00%,100.00%,99.91%,100.00%,100.00%,NA,
adc_data[1],100.00%,100.00%,99.84%,100.00%,100.00%,NA,
adc_data[2],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_data[3],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_data[4],100.00%,100.00%,99.84%,100.00%,100.00%,NA,
adc_data[5],100.00%,100.00%,99.94%,100.00%,100.00%,NA,
adc_data[6],100.00%,100.00%,99.93%,100.00%,100.00%,NA,
adc_data[7],100.00%,100.00%,99.84%,100.00%,100.00%,NA,
adc_data[8],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_data[9],100.00%,100.00%,99.91%,100.00%,100.00%,NA,
adc_req,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
adc_valid,100.00%,100.00%,99.87%,100.00%,100.00%,NA,
afe_latch,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
afe_sclk,100.00%,100.00%,100.00%,83.27%,99.34%,NA,
afe_sdata,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
airbag_trigger[0],50.00%,100.00%,95.49%,100.00%,NA,NA,
belt_pretension[0],100.00%,100.00%,100.00%,100.00%,NA,NA,
belt_pretension[1],100.00%,100.00%,100.00%,100.00%,NA,NA,
charge_enable,100.00%,100.00%,100.00%,100.00%,NA,NA,
clk_ai,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
clk_aon,100.00%,100.00%,100.00%,98.62%,100.00%,NA,
clk_mcu,100.00%,100.00%,100.00%,93.92%,99.12%,NA,
clk_sensor,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net1683,100.00%,100.00%,100.00%,100.00%,NA,NA,
net8155,100.00%,96.45%,64.17%,100.00%,NA,NA,
cooling_fan_pwm[6],100.00%,100.00%,100.00%,100.00%,NA,NA,
net1682,100.00%,100.00%,100.00%,100.00%,NA,NA,
cooling_pump_pwm[6],100.00%,100.00%,100.00%,100.00%,NA,NA,
crash_trig_front,100.00%,100.00%,100.00%,100.00%,NA,NA,
crash_trig_side,100.00%,100.00%,100.00%,100.00%,NA,NA,
disp_cs,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
disp_sclk,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4977,100.00%,100.00%,0.00%,NA,NA,NA,
door_unlock,100.00%,100.00%,100.00%,100.00%,NA,NA,
ext_rst_n,100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[0],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[1],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[2],100.00%,45.80%,0.00%,100.00%,NA,NA,
gps_rx_data[3],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[4],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[5],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[6],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_data[7],100.00%,100.00%,100.00%,100.00%,NA,NA,
gps_rx_valid,100.00%,100.00%,100.00%,100.00%,NA,NA,
hazard_button,100.00%,100.00%,100.00%,100.00%,NA,NA,
net5007,100.00%,100.00%,100.00%,NA,NA,NA,
headlight_en,100.00%,100.00%,100.00%,100.00%,NA,NA,
horn_en,100.00%,100.00%,100.00%,100.00%,NA,NA,
net67,100.00%,100.00%,0.00%,NA,NA,NA,
net6180,100.00%,100.00%,0.00%,NA,NA,NA,
hv_discharge_en,100.00%,100.00%,94.12%,100.00%,NA,NA,
net8749,100.00%,99.75%,95.70%,NA,NA,NA,
hv_fault_code[1],100.00%,100.00%,93.33%,100.00%,NA,NA,
hv_fault_code[2],100.00%,100.00%,100.00%,100.00%,NA,NA,
net8742,100.00%,100.00%,83.46%,80.40%,100.00%,NA,
net8141,66.67%,99.79%,100.00%,100.00%,100.00%,NA,
net68,100.00%,100.00%,100.00%,100.00%,NA,NA,
hv_state[0],100.00%,99.72%,100.00%,100.00%,NA,NA,
